query,gui_indexes,relevance
Country code listing,"[7300, 7952, 67583, 7953, 63633, 37446, 4238, 4243, 69254, 63630, 69267, 51324, 69258, 20638, 69277, 24220, 33194, 70727, 20640, 69265]","[2, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]"
"book reader with ""Become a Member"" button","[40696, 1078, 13003, 40693, 52623, 13010, 52619, 12997, 13004, 13012, 40932, 50327, 6289, 59341, 5606, 6290, 70606, 7191, 40930, 50967]","[2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
choise of interest,"[5725, 66440, 31261, 9292, 31253, 10113, 1627, 62106, 62104, 66380, 50321, 9281, 9286, 65473, 2194, 64828, 47712, 62098, 9398, 2849]","[2, 0, 2, 2, 2, 2, 2, 2, 1, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 0]"
Healthy Food options to add in daily Plan,"[30133, 41103, 55222, 13173, 57637, 29389, 57626, 66527, 30246, 13727, 66538, 13722, 66544, 8328, 19171, 60609, 60611, 60613, 66532, 71635]","[2, 0, 2, 1, 0, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
Chinese salad recipes,"[8167, 70038, 60444, 14279, 43427, 10064, 25399, 12314, 30057, 59014, 6395, 29838, 43431, 43426, 59927, 917, 56501, 10057, 59930, 17378]","[2, 1, 2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
my net diary with many options,"[8337, 22500, 30158, 30161, 34196, 8370, 42408, 7108, 30157, 59229, 12109, 8367, 22830, 36671, 63734, 8329, 22828, 39243, 8349, 18020]","[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 1]"
"saving items with complete , complete this group manually or exit","[43202, 43209, 36136, 56936, 32270, 45975, 32190, 24733, 23762, 32194, 16566, 63756, 33303, 44357, 53549, 24735, 29583, 25973, 69703, 1229]","[2, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1]"
"social app with ask me, gender, ask me, chat options","[27112, 59474, 46259, 12273, 55007, 55011, 13174, 5983, 2452, 5976, 57095, 1623, 50314, 57091, 11648, 10959, 19646, 31005, 55008, 57093]","[0, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 1, 2, 0, 1, 0, 0, 1, 1, 0]"
Weather details for city with option in Celsius and Fahrenheit,"[2768, 32454, 68745, 68743, 38374, 14852, 38916, 13974, 43248, 19707, 28770, 68867, 34569, 29491, 67673, 37413, 62291, 55633, 47122, 24375]","[2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
menu to choose between different options for organising ebooks,"[5231, 19705, 67678, 70976, 47521, 50835, 32557, 1250, 2274, 22082, 2270, 49221, 32549, 45959, 35887, 48731, 44864, 32544, 32551, 45956]","[1, 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
