Input.query,Input.id,annotations_list,gui_indexes_list,WorkerId,groupid,cumcount
menu providing different buttons to change the settings and to get more information,233,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[68952, 50241, 67334, 24716, 1671, 66979, 30845, 27618, 41333, 50593, 44864, 6022, 51275, 36064, 29729]",A2XWQY45UB1XQ6,102,2
web brower with list,386,"[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[16227, 1093, 34244, 1187, 1092, 66247, 291, 25697, 7828, 20339, 3146, 1198, 21855, 21, 45255]",AXXA481XH6FKE,147,0
web brower with list,386,"[2, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 2, 1]","[16227, 1093, 34244, 1187, 1092, 66247, 291, 25697, 7828, 20339, 3146, 1198, 21855, 21, 45255]",A1PVNAXKDIW5K6,147,1
web brower with list,386,"[1, 1, 2, 0, 2, 0, 1, 0, 2, 2, 2, 0, 0, 0, 0]","[16227, 1093, 34244, 1187, 1092, 66247, 291, 25697, 7828, 20339, 3146, 1198, 21855, 21, 45255]",A33LIU53SVI55G,147,2
"A Social media app with options like chat, mute and Followers",67,"[0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 2, 2]","[11396, 28867, 39314, 62505, 28868, 17094, 17092, 11390, 64159, 33749, 11398, 65475, 15587, 62508, 32813]",A33LIU53SVI55G,1,0
"A Social media app with options like chat, mute and Followers",67,"[2, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]","[11396, 28867, 39314, 62505, 28868, 17094, 17092, 11390, 64159, 33749, 11398, 65475, 15587, 62508, 32813]",AXXA481XH6FKE,1,1
"A Social media app with options like chat, mute and Followers",67,"[2, 1, 1, 2, 1, 2, 0, 1, 2, 2, 2, 2, 0, 1, 2]","[11396, 28867, 39314, 62505, 28868, 17094, 17092, 11390, 64159, 33749, 11398, 65475, 15587, 62508, 32813]",A35AR7EP102IEV,1,2
Setting screen of a time planer,101,"[0, 1, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[48465, 27956, 68160, 43706, 27957, 36177, 65308, 65804, 52329, 54057, 49273, 39131, 15362, 28512, 1086]",A15ZDCM9T6FXH3,45,0
Setting screen of a time planer,101,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[48465, 27956, 68160, 43706, 27957, 36177, 65308, 65804, 52329, 54057, 49273, 39131, 15362, 28512, 1086]",AXXA481XH6FKE,45,1
Setting screen of a time planer,101,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[48465, 27956, 68160, 43706, 27957, 36177, 65308, 65804, 52329, 54057, 49273, 39131, 15362, 28512, 1086]",A22TLF121MRXT1,45,2
"Shop for Men's,Women's and Kids",74,"[2, 2, 0, 0, 2, 2, 0, 0, 1, 1, 2, 1, 0, 1, 0]","[34152, 53487, 3507, 3526, 4326, 53544, 55910, 25929, 9506, 22034, 53540, 23941, 19033, 53496, 18147]",A15ZDCM9T6FXH3,46,0
"Shop for Men's,Women's and Kids",74,"[2, 2, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0]","[34152, 53487, 3507, 3526, 4326, 53544, 55910, 25929, 9506, 22034, 53540, 23941, 19033, 53496, 18147]",ARJ7XWSK0Y8FJ,46,1
"Shop for Men's,Women's and Kids",74,"[0, 2, 2, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0]","[34152, 53487, 3507, 3526, 4326, 53544, 55910, 25929, 9506, 22034, 53540, 23941, 19033, 53496, 18147]",AXXA481XH6FKE,46,2
a screen with information about particular app,141,"[0, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2]","[3951, 5674, 6022, 32143, 51111, 66979, 61110, 3013, 41333, 40525, 10622, 29729, 8653, 31797, 67334]",ARJ7XWSK0Y8FJ,62,0
a screen with information about particular app,141,"[2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2]","[3951, 5674, 6022, 32143, 51111, 66979, 61110, 3013, 41333, 40525, 10622, 29729, 8653, 31797, 67334]",A35AR7EP102IEV,62,1
a screen with information about particular app,141,"[1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2]","[3951, 5674, 6022, 32143, 51111, 66979, 61110, 3013, 41333, 40525, 10622, 29729, 8653, 31797, 67334]",A33LIU53SVI55G,62,2
Period and fertility forecast with cycle length,430,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","[15359, 49455, 11639, 44016, 11644, 72043, 4522, 15364, 8101, 44014, 28330, 24950, 44013, 57145, 4517]",A2QZ3E3AEY887V,36,0
Period and fertility forecast with cycle length,430,"[2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0]","[15359, 49455, 11639, 44016, 11644, 72043, 4522, 15364, 8101, 44014, 28330, 24950, 44013, 57145, 4517]",AVASQBFN6J692,36,1
Period and fertility forecast with cycle length,430,"[2, 1, 1, 0, 2, 1, 1, 1, 1, 0, 2, 1, 1, 2, 0]","[15359, 49455, 11639, 44016, 11644, 72043, 4522, 15364, 8101, 44014, 28330, 24950, 44013, 57145, 4517]",AXXA481XH6FKE,36,2
timetable with title and place,103,"[2, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]","[63425, 63431, 63421, 63423, 4852, 63420, 63417, 63427, 63422, 26061, 32523, 49645, 63523, 4848, 30809]",A1I579KWWA5IEO,140,0
timetable with title and place,103,"[2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2]","[63425, 63431, 63421, 63423, 4852, 63420, 63417, 63427, 63422, 26061, 32523, 49645, 63523, 4848, 30809]",A35AR7EP102IEV,140,1
timetable with title and place,103,"[2, 0, 1, 1, 0, 1, 0, 1, 1, 2, 0, 1, 1, 0, 0]","[63425, 63431, 63421, 63423, 4852, 63420, 63417, 63427, 63422, 26061, 32523, 49645, 63523, 4848, 30809]",A33LIU53SVI55G,140,2
best food recipes,75,"[2, 2, 2, 2, 1, 2, 2, 0, 2, 2, 0, 0, 1, 0, 0]","[45732, 29116, 70329, 21272, 14275, 8167, 8047, 29119, 40847, 56496, 65091, 13727, 56509, 68771, 60609]",AXXA481XH6FKE,70,0
best food recipes,75,"[2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 0, 2, 1, 0, 1]","[45732, 29116, 70329, 21272, 14275, 8167, 8047, 29119, 40847, 56496, 65091, 13727, 56509, 68771, 60609]",A35AR7EP102IEV,70,1
best food recipes,75,"[2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 0, 1, 2, 1, 0]","[45732, 29116, 70329, 21272, 14275, 8167, 8047, 29119, 40847, 56496, 65091, 13727, 56509, 68771, 60609]",A2AKNTBRMYZ95S,70,2
"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about",462,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26337, 26330, 26326, 34181, 26335, 26333, 67408, 26334, 67409, 44839, 26332, 42168, 11453, 26329, 20594]",A2AKNTBRMYZ95S,27,0
"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about",462,"[2, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26337, 26330, 26326, 34181, 26335, 26333, 67408, 26334, 67409, 44839, 26332, 42168, 11453, 26329, 20594]",AXXA481XH6FKE,27,1
"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about",462,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 0]","[26337, 26330, 26326, 34181, 26335, 26333, 67408, 26334, 67409, 44839, 26332, 42168, 11453, 26329, 20594]",ARJ7XWSK0Y8FJ,27,2
A guy picture on a social network,136,"[2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[46313, 18442, 31184, 16391, 18443, 31183, 34410, 18432, 69105, 46286, 34414, 44847, 17848, 51001, 618]",AXXA481XH6FKE,2,0
A guy picture on a social network,136,"[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[46313, 18442, 31184, 16391, 18443, 31183, 34410, 18432, 69105, 46286, 34414, 44847, 17848, 51001, 618]",A15ZDCM9T6FXH3,2,1
A guy picture on a social network,136,"[2, 2, 0, 1, 1, 1, 1, 0, 2, 1, 2, 0, 1, 1, 1]","[46313, 18442, 31184, 16391, 18443, 31183, 34410, 18432, 69105, 46286, 34414, 44847, 17848, 51001, 618]",A35AR7EP102IEV,2,2
add location by pinning the place,272,"[2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0]","[17342, 53393, 30809, 40686, 1469, 43558, 10610, 9914, 61696, 18975, 43461, 61692, 45909, 64888, 28150]",A22TLF121MRXT1,65,0
add location by pinning the place,272,"[1, 1, 0, 2, 1, 0, 1, 1, 2, 2, 1, 2, 0, 0, 0]","[17342, 53393, 30809, 40686, 1469, 43558, 10610, 9914, 61696, 18975, 43461, 61692, 45909, 64888, 28150]",AXXA481XH6FKE,65,1
add location by pinning the place,272,"[2, 0, 2, 2, 1, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0]","[17342, 53393, 30809, 40686, 1469, 43558, 10610, 9914, 61696, 18975, 43461, 61692, 45909, 64888, 28150]",A35AR7EP102IEV,65,2
a survery app with sinup and facebook login option,359,"[2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[9551, 37666, 19704, 6608, 20931, 34569, 22253, 8998, 19707, 15939, 57919, 67673, 18535, 7849, 49338]",A22TLF121MRXT1,63,0
a survery app with sinup and facebook login option,359,"[2, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[9551, 37666, 19704, 6608, 20931, 34569, 22253, 8998, 19707, 15939, 57919, 67673, 18535, 7849, 49338]",AYHIH9NTPYFLY,63,1
a survery app with sinup and facebook login option,359,"[2, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[9551, 37666, 19704, 6608, 20931, 34569, 22253, 8998, 19707, 15939, 57919, 67673, 18535, 7849, 49338]",AXXA481XH6FKE,63,2
create customized emoji,128,"[2, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2]","[283, 54287, 71078, 19912, 23208, 63011, 19908, 6648, 45702, 19913, 68703, 62124, 22428, 68698, 10693]",A33LIU53SVI55G,82,0
create customized emoji,128,"[2, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","[283, 54287, 71078, 19912, 23208, 63011, 19908, 6648, 45702, 19913, 68703, 62124, 22428, 68698, 10693]",AXXA481XH6FKE,82,1
create customized emoji,128,"[2, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[283, 54287, 71078, 19912, 23208, 63011, 19908, 6648, 45702, 19913, 68703, 62124, 22428, 68698, 10693]",A2AKNTBRMYZ95S,82,2
"diaper-magen with style, color and texture",7,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37086, 28162, 64210, 64203, 50869, 16980, 48112, 46105, 27148, 54211, 56454, 50983, 69720, 56459, 54835]",AFIK3VBMMX6G6,86,0
"diaper-magen with style, color and texture",7,"[2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[37086, 28162, 64210, 64203, 50869, 16980, 48112, 46105, 27148, 54211, 56454, 50983, 69720, 56459, 54835]",AVASQBFN6J692,86,1
"diaper-magen with style, color and texture",7,"[1, 1, 2, 2, 1, 1, 0, 0, 2, 1, 0, 2, 2, 0, 0]","[37086, 28162, 64210, 64203, 50869, 16980, 48112, 46105, 27148, 54211, 56454, 50983, 69720, 56459, 54835]",A15ZDCM9T6FXH3,86,2
"Text (story) reading with formatting options, search functionality",195,"[2, 1, 1, 0, 0, 2, 0, 1, 1, 0, 2, 2, 0, 0, 2]","[27223, 25997, 34387, 55035, 65018, 16381, 51704, 7355, 70305, 64849, 26008, 24019, 39739, 27103, 24012]",A1I579KWWA5IEO,51,0
"Text (story) reading with formatting options, search functionality",195,"[2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1]","[27223, 25997, 34387, 55035, 65018, 16381, 51704, 7355, 70305, 64849, 26008, 24019, 39739, 27103, 24012]",A15ZDCM9T6FXH3,51,1
"Text (story) reading with formatting options, search functionality",195,"[2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[27223, 25997, 34387, 55035, 65018, 16381, 51704, 7355, 70305, 64849, 26008, 24019, 39739, 27103, 24012]",A1PVNAXKDIW5K6,51,2
Information with sharing and saving option,54,"[2, 1, 1, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[53446, 36879, 55986, 62888, 9920, 57917, 50410, 61684, 33303, 25982, 31172, 19704, 38513, 13127, 19707]",A1I579KWWA5IEO,19,0
Information with sharing and saving option,54,"[2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 2]","[53446, 36879, 55986, 62888, 9920, 57917, 50410, 61684, 33303, 25982, 31172, 19704, 38513, 13127, 19707]",A35AR7EP102IEV,19,1
Information with sharing and saving option,54,"[2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[53446, 36879, 55986, 62888, 9920, 57917, 50410, 61684, 33303, 25982, 31172, 19704, 38513, 13127, 19707]",A15ZDCM9T6FXH3,19,2
accounting software with excel file output format,274,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[35396, 31179, 54509, 10139, 51541, 54510, 43697, 18627, 54511, 18606, 63716, 54508, 31034, 40362, 54739]",A20I3A6VWC2T5C,64,0
accounting software with excel file output format,274,"[0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[35396, 31179, 54509, 10139, 51541, 54510, 43697, 18627, 54511, 18606, 63716, 54508, 31034, 40362, 54739]",A2AKNTBRMYZ95S,64,1
accounting software with excel file output format,274,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[35396, 31179, 54509, 10139, 51541, 54510, 43697, 18627, 54511, 18606, 63716, 54508, 31034, 40362, 54739]",A1I579KWWA5IEO,64,2
audio editor with harmony function,321,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27752, 20274, 64836, 37568, 53012, 22687, 37560, 20586, 66226, 22181, 53005, 66227, 22182, 53004, 66229]",AXXA481XH6FKE,69,0
audio editor with harmony function,321,"[1, 2, 0, 1, 1, 0, 0, 2, 2, 2, 2, 2, 2, 1, 2]","[27752, 20274, 64836, 37568, 53012, 22687, 37560, 20586, 66226, 22181, 53005, 66227, 22182, 53004, 66229]",A35AR7EP102IEV,69,1
audio editor with harmony function,321,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[27752, 20274, 64836, 37568, 53012, 22687, 37560, 20586, 66226, 22181, 53005, 66227, 22182, 53004, 66229]",A22TLF121MRXT1,69,2
contact details form,266,"[2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 0]","[48069, 13359, 40736, 66701, 66315, 3372, 65494, 25713, 17044, 66228, 2837, 25116, 6861, 15513, 46777]",A35AR7EP102IEV,80,0
contact details form,266,"[0, 0, 2, 0, 0, 0, 2, 1, 0, 2, 1, 0, 2, 2, 1]","[48069, 13359, 40736, 66701, 66315, 3372, 65494, 25713, 17044, 66228, 2837, 25116, 6861, 15513, 46777]",A15ZDCM9T6FXH3,80,1
contact details form,266,"[2, 2, 2, 0, 2, 1, 1, 2, 0, 0, 2, 2, 1, 2, 0]","[48069, 13359, 40736, 66701, 66315, 3372, 65494, 25713, 17044, 66228, 2837, 25116, 6861, 15513, 46777]",AXXA481XH6FKE,80,2
Vippi GUI sign up interface,353,"[2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 2]","[38658, 6140, 21042, 70744, 29033, 38923, 64029, 40003, 21040, 45631, 52853, 40122, 64031, 52855, 20429]",A33LIU53SVI55G,58,0
Vippi GUI sign up interface,353,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[38658, 6140, 21042, 70744, 29033, 38923, 64029, 40003, 21040, 45631, 52853, 40122, 64031, 52855, 20429]",AXXA481XH6FKE,58,1
Vippi GUI sign up interface,353,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[38658, 6140, 21042, 70744, 29033, 38923, 64029, 40003, 21040, 45631, 52853, 40122, 64031, 52855, 20429]",A1I579KWWA5IEO,58,2
weight loss foods blog,116,"[2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1]","[68510, 3414, 8365, 3415, 6048, 8346, 44868, 6041, 23128, 8363, 132, 23141, 31693, 40229, 23129]",A22TLF121MRXT1,148,0
weight loss foods blog,116,"[2, 2, 0, 2, 2, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1]","[68510, 3414, 8365, 3415, 6048, 8346, 44868, 6041, 23128, 8363, 132, 23141, 31693, 40229, 23129]",AYHIH9NTPYFLY,148,1
weight loss foods blog,116,"[2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[68510, 3414, 8365, 3415, 6048, 8346, 44868, 6041, 23128, 8363, 132, 23141, 31693, 40229, 23129]",AXXA481XH6FKE,148,2
Spanish news with figuers and search option,149,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58638, 21463, 19704, 58974, 21948, 19707, 32229, 21949, 34569, 25018, 21946, 67673, 59619, 4661, 49336]",A2ECRNQ3X5LEXD,48,0
Spanish news with figuers and search option,149,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58638, 21463, 19704, 58974, 21948, 19707, 32229, 21949, 34569, 25018, 21946, 67673, 59619, 4661, 49336]",A22TLF121MRXT1,48,1
Spanish news with figuers and search option,149,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58638, 21463, 19704, 58974, 21948, 19707, 32229, 21949, 34569, 25018, 21946, 67673, 59619, 4661, 49336]",AXXA481XH6FKE,48,2
Tabs layout preview,219,"[0, 0, 1, 1, 0, 0, 2, 1, 1, 1, 0, 0, 2, 1, 1]","[22974, 69119, 49456, 20057, 64516, 22596, 69708, 47663, 22591, 13306, 28581, 35897, 35333, 68119, 19983]",A15ZDCM9T6FXH3,50,0
Tabs layout preview,219,"[2, 2, 2, 0, 0, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2]","[22974, 69119, 49456, 20057, 64516, 22596, 69708, 47663, 22591, 13306, 28581, 35897, 35333, 68119, 19983]",A1I579KWWA5IEO,50,1
Tabs layout preview,219,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2]","[22974, 69119, 49456, 20057, 64516, 22596, 69708, 47663, 22591, 13306, 28581, 35897, 35333, 68119, 19983]",A33LIU53SVI55G,50,2
login screen with email and password or via facebook or google,194,"[2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]","[34164, 45861, 65080, 4305, 36857, 38443, 5490, 51279, 49815, 49245, 40459, 54590, 49238, 41554, 10894]",A33LIU53SVI55G,100,0
login screen with email and password or via facebook or google,194,"[2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2]","[34164, 45861, 65080, 4305, 36857, 38443, 5490, 51279, 49815, 49245, 40459, 54590, 49238, 41554, 10894]",A30H28F41UBJGK,100,1
login screen with email and password or via facebook or google,194,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[34164, 45861, 65080, 4305, 36857, 38443, 5490, 51279, 49815, 49245, 40459, 54590, 49238, 41554, 10894]",AXXA481XH6FKE,100,2
find your current location,172,"[1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 1, 1, 2]","[42138, 67379, 57775, 62521, 66356, 28541, 22008, 20317, 49233, 62457, 27469, 70543, 8706, 36305, 57777]",AXXA481XH6FKE,91,0
find your current location,172,"[1, 0, 2, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[42138, 67379, 57775, 62521, 66356, 28541, 22008, 20317, 49233, 62457, 27469, 70543, 8706, 36305, 57777]",A1PVNAXKDIW5K6,91,1
find your current location,172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]","[42138, 67379, 57775, 62521, 66356, 28541, 22008, 20317, 49233, 62457, 27469, 70543, 8706, 36305, 57777]",A2AKNTBRMYZ95S,91,2
pay screen for adding money into a paytm account,221,"[2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1102, 49956, 1115, 36056, 1111, 49209, 38960, 69654, 44468, 11454, 59618, 64629, 11460, 4219, 10278]",AXXA481XH6FKE,117,0
pay screen for adding money into a paytm account,221,"[1, 1, 1, 0, 1, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0]","[1102, 49956, 1115, 36056, 1111, 49209, 38960, 69654, 44468, 11454, 59618, 64629, 11460, 4219, 10278]",A15ZDCM9T6FXH3,117,1
pay screen for adding money into a paytm account,221,"[1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[1102, 49956, 1115, 36056, 1111, 49209, 38960, 69654, 44468, 11454, 59618, 64629, 11460, 4219, 10278]",A2AKNTBRMYZ95S,117,2
show map,92,"[2, 0, 2, 2, 2, 0, 1, 0, 2, 2, 0, 2, 1, 0, 2]","[51065, 71036, 52816, 52817, 70527, 12687, 4218, 64043, 7084, 66555, 71034, 70756, 13257, 16898, 60544]",AXXA481XH6FKE,129,0
show map,92,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2]","[51065, 71036, 52816, 52817, 70527, 12687, 4218, 64043, 7084, 66555, 71034, 70756, 13257, 16898, 60544]",A22TLF121MRXT1,129,1
show map,92,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2]","[51065, 71036, 52816, 52817, 70527, 12687, 4218, 64043, 7084, 66555, 71034, 70756, 13257, 16898, 60544]",A33LIU53SVI55G,129,2
news,295,"[0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1]","[64920, 54133, 71379, 16515, 1570, 68818, 13837, 43051, 68811, 68813, 71448, 1565, 58510, 71451, 68814]",AXXA481XH6FKE,109,0
news,295,"[0, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 0, 2, 0, 0]","[64920, 54133, 71379, 16515, 1570, 68818, 13837, 43051, 68811, 68813, 71448, 1565, 58510, 71451, 68814]",A1I579KWWA5IEO,109,1
news,295,"[0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2]","[64920, 54133, 71379, 16515, 1570, 68818, 13837, 43051, 68811, 68813, 71448, 1565, 58510, 71451, 68814]",ARJ7XWSK0Y8FJ,109,2
music score chart with audio,119,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0]","[2153, 22181, 22182, 5368, 4512, 48086, 39043, 4524, 21406, 70553, 8147, 28036, 66227, 8149, 21412]",ARJ7XWSK0Y8FJ,105,0
music score chart with audio,119,"[0, 2, 2, 1, 2, 0, 0, 1, 2, 1, 0, 2, 1, 0, 2]","[2153, 22181, 22182, 5368, 4512, 48086, 39043, 4524, 21406, 70553, 8147, 28036, 66227, 8149, 21412]",A1PVNAXKDIW5K6,105,1
music score chart with audio,119,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[2153, 22181, 22182, 5368, 4512, 48086, 39043, 4524, 21406, 70553, 8147, 28036, 66227, 8149, 21412]",A1I579KWWA5IEO,105,2
Mobile Home Screen Background,49,"[2, 0, 2, 2, 2, 0, 0, 0, 2, 1, 1, 2, 2, 2, 2]","[31772, 32130, 52770, 54984, 15531, 64821, 28763, 64025, 18821, 20593, 39093, 4395, 33733, 35338, 7783]",ARJ7XWSK0Y8FJ,28,0
Mobile Home Screen Background,49,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[31772, 32130, 52770, 54984, 15531, 64821, 28763, 64025, 18821, 20593, 39093, 4395, 33733, 35338, 7783]",AYHIH9NTPYFLY,28,1
Mobile Home Screen Background,49,"[2, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 0]","[31772, 32130, 52770, 54984, 15531, 64821, 28763, 64025, 18821, 20593, 39093, 4395, 33733, 35338, 7783]",A2QZ3E3AEY887V,28,2
flight preferences San Francisco to New York and search tickets button,203,"[1, 0, 2, 1, 2, 0, 0, 1, 2, 0, 0, 1, 0, 1, 2]","[2720, 42153, 24379, 1373, 21446, 17099, 1735, 39809, 44802, 43373, 63123, 3040, 1739, 21453, 28796]",A33LIU53SVI55G,92,0
flight preferences San Francisco to New York and search tickets button,203,"[2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2720, 42153, 24379, 1373, 21446, 17099, 1735, 39809, 44802, 43373, 63123, 3040, 1739, 21453, 28796]",AXXA481XH6FKE,92,1
flight preferences San Francisco to New York and search tickets button,203,"[2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 1]","[2720, 42153, 24379, 1373, 21446, 17099, 1735, 39809, 44802, 43373, 63123, 3040, 1739, 21453, 28796]",A15ZDCM9T6FXH3,92,2
Product listing with main filter,191,"[0, 2, 2, 0, 2, 0, 1, 2, 1, 2, 1, 1, 0, 0, 2]","[28092, 4243, 4238, 67583, 71125, 69273, 63630, 21045, 63633, 24219, 21049, 69254, 67579, 4241, 69267]",ARJ7XWSK0Y8FJ,39,0
Product listing with main filter,191,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0, 1]","[28092, 4243, 4238, 67583, 71125, 69273, 63630, 21045, 63633, 24219, 21049, 69254, 67579, 4241, 69267]",A15ZDCM9T6FXH3,39,1
Product listing with main filter,191,"[0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[28092, 4243, 4238, 67583, 71125, 69273, 63630, 21045, 63633, 24219, 21049, 69254, 67579, 4241, 69267]",AXXA481XH6FKE,39,2
"Application with weekly ad, rewards, account, products and projects that can be add to My List",118,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[57640, 51849, 15888, 23206, 55466, 46794, 23212, 33170, 46814, 48018, 12318, 46799, 16825, 45736, 62141]",A1PVNAXKDIW5K6,5,0
"Application with weekly ad, rewards, account, products and projects that can be add to My List",118,"[2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[57640, 51849, 15888, 23206, 55466, 46794, 23212, 33170, 46814, 48018, 12318, 46799, 16825, 45736, 62141]",AXXA481XH6FKE,5,1
"Application with weekly ad, rewards, account, products and projects that can be add to My List",118,"[2, 0, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1]","[57640, 51849, 15888, 23206, 55466, 46794, 23212, 33170, 46814, 48018, 12318, 46799, 16825, 45736, 62141]",A35AR7EP102IEV,5,2
