Input.id,Input.query,annotations_list,gui_indexes_list,relevance,occurances
59,dictionary page  with words shown,"[(0, 2, 0), (1, 2, 1), (0, 0, 1), (2, 1, 1), (1, 0, 1), (0, 1, 1), (0, 1, 1), (2, 1, 2), (0, 0, 0), (0, 1, 1), (0, 0, 1), (0, 0, 0), (0, 1, 1), (2, 1, 1), (0, 0, 0), (1, 1, 1), (1, 1, 1), (1, 0, 1), (1, 1, 1), (0, 0, 0), (0, 1, 0), (1, 0, 0), (2, 2, 1), (1, 0, 0), (1, 0, 0), (1, 1, 1), (0, 0, 0), (1, 1, 0), (0, 0, 0), (1, 0, 0)]","[27349, 61344, 45665, 61345, 61318, 61333, 61348, 61335, 35226, 61339, 25592, 71902, 71905, 61322, 35235, 61340, 61327, 28511, 61312, 8890, 28481, 71913, 1269, 27413, 60012, 61336, 18467, 71908, 61326, 27410]","[0, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]","[[2, 0, 1], [0, 2, 1], [2, 1, 0], [0, 2, 1], [1, 2, 0], [1, 2, 0], [1, 2, 0], [0, 1, 2], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [1, 2, 0], [0, 2, 1], [3, 0, 0], [0, 3, 0], [0, 3, 0], [1, 2, 0], [0, 3, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [0, 1, 2], [2, 1, 0], [2, 1, 0], [0, 3, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0]]"
60,page not found report with search bar and recent posts,"[(2, 2, 2), (0, 2, 0), (0, 2, 0), (0, 1, 0), (0, 2, 0), (0, 2, 0), (0, 2, 0), (0, 1, 0), (0, 2, 0), (0, 1, 0), (0, 1, 0), (0, 2, 0), (0, 1, 0), (1, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 2), (0, 0, 0)]","[10135, 17092, 37760, 68039, 64856, 39648, 23126, 37759, 35252, 38234, 5501, 35242, 68272, 28647, 65328, 23144, 23143, 38230, 38224, 49884, 38231, 68044, 61891, 9227, 23135, 71958, 43019, 31770, 56624, 36413]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[[0, 0, 3], [2, 0, 1], [2, 0, 1], [2, 1, 0], [2, 0, 1], [2, 0, 1], [2, 0, 1], [2, 1, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 2, 1], [3, 0, 0]]"
63,"option bar, multiple preview of data","[(0, 1, 2), (0, 1, 1), (2, 2, 2), (1, 1, 0), (0, 2, 2), (1, 2, 1), (1, 1, 1), (0, 0, 1), (1, 0, 1), (1, 0, 1), (0, 0, 0), (1, 1, 2), (1, 0, 1), (0, 0, 0), (0, 2, 1), (0, 1, 1), (2, 1, 2), (1, 0, 0), (0, 1, 2), (0, 0, 1), (1, 0, 2), (1, 2, 1), (0, 0, 0), (2, 0, 0), (0, 2, 2), (1, 0, 0), (2, 0, 1), (0, 2, 2), (0, 0, 2), (2, 0, 0)]","[23868, 49872, 19704, 18491, 31125, 19707, 22109, 36472, 34569, 64639, 68851, 67673, 30729, 22561, 49456, 10097, 34078, 22596, 2748, 21310, 22591, 16222, 26938, 49336, 39081, 21311, 49332, 62664, 21304, 49344]","[3, 1, 2, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 3, 1, 2, 0, 3, 0, 3, 1, 0, 0, 2, 0, 3, 2, 0, 0]","[[1, 1, 1], [1, 2, 0], [0, 0, 3], [1, 2, 0], [1, 0, 2], [0, 2, 1], [0, 3, 0], [2, 1, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [0, 2, 1], [1, 2, 0], [3, 0, 0], [1, 1, 1], [1, 2, 0], [0, 1, 2], [2, 1, 0], [1, 1, 1], [2, 1, 0], [1, 1, 1], [0, 2, 1], [3, 0, 0], [2, 0, 1], [1, 0, 2], [2, 1, 0], [1, 1, 1], [1, 0, 2], [2, 0, 1], [2, 0, 1]]"
65,AN android app,"[(1, 2, 0), (2, 2, 1), (2, 2, 1), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 2), (1, 2, 1), (2, 2, 1), (1, 2, 2), (0, 2, 2), (1, 2, 2), (2, 2, 0), (2, 0, 1), (2, 0, 1), (2, 0, 0), (2, 2, 0), (2, 0, 0), (2, 0, 0), (2, 2, 0), (2, 1, 0), (2, 0, 0), (2, 0, 0), (2, 2, 0), (2, 0, 0), (2, 0, 0), (2, 2, 0)]","[66756, 40068, 49622, 34329, 70797, 667, 51804, 54580, 26774, 30138, 51254, 61162, 30137, 26775, 38354, 61871, 55730, 61159, 30147, 13987, 61010, 52193, 52865, 11152, 61163, 66865, 38356, 31937, 50401, 12956]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 3, 0, 2, 0, 0, 2, 3, 0, 0, 2, 0, 0, 2]","[[1, 1, 1], [0, 1, 2], [0, 1, 2], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 0, 3], [0, 2, 1], [0, 1, 2], [0, 1, 2], [1, 0, 2], [0, 1, 2], [1, 0, 2], [1, 1, 1], [1, 1, 1], [2, 0, 1], [1, 0, 2], [2, 0, 1], [2, 0, 1], [1, 0, 2], [1, 1, 1], [2, 0, 1], [2, 0, 1], [1, 0, 2], [2, 0, 1], [2, 0, 1], [1, 0, 2]]"
67,"A Social media app with options like chat, mute and Followers","[(0, 2, 2), (2, 0, 1), (0, 1, 1), (0, 0, 2), (0, 0, 1), (0, 1, 2), (0, 0, 0), (1, 2, 1), (0, 0, 2), (1, 0, 2), (0, 1, 2), (2, 0, 2), (0, 0, 0), (2, 0, 1), (2, 0, 2), (0, 0, 2), (0, 0, 1), (0, 0, 0), (0, 0, 1), (1, 2, 1), (0, 0, 1), (1, 0, 2), (0, 0, 2), (0, 0, 2), (0, 2, 2), (0, 2, 2), (0, 0, 1), (0, 2, 2), (0, 0, 1), (0, 0, 1)]","[11396, 28867, 39314, 62505, 28868, 17094, 17092, 11390, 64159, 33749, 11398, 65475, 15587, 62508, 32813, 7632, 56740, 56973, 33748, 11389, 65479, 17091, 62502, 54068, 24579, 62504, 32811, 53259, 56053, 32810]","[2, 3, 1, 0, 0, 3, 0, 1, 0, 3, 3, 2, 0, 3, 2, 0, 0, 0, 0, 1, 0, 3, 0, 0, 2, 2, 0, 2, 0, 0]","[[1, 0, 2], [1, 1, 1], [1, 2, 0], [2, 0, 1], [2, 1, 0], [1, 1, 1], [3, 0, 0], [0, 2, 1], [2, 0, 1], [1, 1, 1], [1, 1, 1], [1, 0, 2], [3, 0, 0], [1, 1, 1], [1, 0, 2], [2, 0, 1], [2, 1, 0], [3, 0, 0], [2, 1, 0], [0, 2, 1], [2, 1, 0], [1, 1, 1], [2, 0, 1], [2, 0, 1], [1, 0, 2], [1, 0, 2], [2, 1, 0], [1, 0, 2], [2, 1, 0], [2, 1, 0]]"
68,Healthy Food options to add in daily Plan,"[(1, 2, 2), (2, 2, 0), (0, 0, 0), (2, 1, 2), (1, 1, 0), (0, 1, 0), (1, 1, 0), (0, 2, 1), (0, 1, 0), (1, 1, 1), (1, 2, 2), (2, 1, 2), (1, 2, 1), (2, 1, 0), (0, 1, 1), (1, 0, 1), (0, 0, 1), (1, 0, 2), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 0, 2), (0, 2, 1), (0, 0, 0), (0, 0, 2), (1, 0, 2), (0, 0, 0), (0, 0, 1), (0, 0, 2), (0, 0, 0)]","[30133, 69523, 41103, 55222, 13173, 57637, 29389, 34387, 57626, 66527, 30246, 13727, 66538, 34646, 13722, 66544, 8328, 27984, 8334, 19171, 60609, 29386, 28638, 60611, 3413, 11698, 60613, 66532, 34125, 71635]","[2, 2, 0, 2, 1, 0, 1, 3, 0, 1, 2, 2, 1, 3, 1, 1, 0, 3, 1, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0]","[[0, 1, 2], [1, 0, 2], [3, 0, 0], [0, 1, 2], [1, 2, 0], [2, 1, 0], [1, 2, 0], [1, 1, 1], [2, 1, 0], [0, 3, 0], [0, 1, 2], [0, 1, 2], [0, 2, 1], [1, 1, 1], [1, 2, 0], [1, 2, 0], [2, 1, 0], [1, 1, 1], [1, 2, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [1, 1, 1], [3, 0, 0], [2, 0, 1], [1, 1, 1], [3, 0, 0], [2, 1, 0], [2, 0, 1], [3, 0, 0]]"
74,"Shop for Men's,Women's and Kids","[(2, 2, 0), (2, 2, 2), (0, 2, 2), (0, 0, 0), (2, 2, 1), (2, 2, 0), (0, 0, 0), (0, 0, 2), (1, 2, 1), (1, 2, 1), (2, 2, 0), (1, 0, 0), (0, 0, 0), (1, 2, 1), (0, 0, 0), (0, 1, 0), (1, 2, 2), (0, 0, 1), (0, 0, 0), (2, 1, 2), (2, 1, 1), (0, 0, 0), (0, 2, 2), (1, 0, 0), (0, 1, 1), (2, 2, 2), (0, 0, 0), (0, 0, 0), (0, 2, 2), (0, 0, 0)]","[34152, 53487, 3507, 3526, 4326, 53544, 55910, 25929, 9506, 22034, 53540, 23941, 19033, 53496, 18147, 17860, 25923, 39575, 12421, 67659, 3495, 12424, 50964, 33044, 24213, 479, 2453, 34549, 481, 11267]","[2, 2, 2, 0, 2, 2, 0, 0, 1, 1, 2, 0, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 2, 0, 1, 2, 0, 0, 2, 0]","[[1, 0, 2], [0, 0, 3], [1, 0, 2], [3, 0, 0], [0, 1, 2], [1, 0, 2], [3, 0, 0], [2, 0, 1], [0, 2, 1], [0, 2, 1], [1, 0, 2], [2, 1, 0], [3, 0, 0], [0, 2, 1], [3, 0, 0], [2, 1, 0], [0, 1, 2], [2, 1, 0], [3, 0, 0], [0, 1, 2], [0, 2, 1], [3, 0, 0], [1, 0, 2], [2, 1, 0], [1, 2, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0]]"
75,best food recipes,"[(2, 2, 2), (2, 2, 1), (2, 2, 2), (2, 2, 2), (1, 1, 1), (2, 2, 2), (2, 2, 2), (0, 2, 2), (2, 0, 1), (2, 2, 2), (0, 0, 0), (0, 2, 1), (1, 1, 2), (0, 0, 1), (0, 1, 0), (1, 1, 1), (2, 1, 1), (1, 1, 0), (2, 1, 1), (1, 1, 1), (2, 0, 0), (2, 2, 1), (1, 0, 1), (0, 0, 0), (2, 2, 1), (2, 1, 1), (1, 0, 0), (2, 2, 1), (2, 1, 1), (2, 1, 1)]","[45732, 29116, 70329, 21272, 14275, 8167, 8047, 29119, 40847, 56496, 65091, 13727, 56509, 68771, 60609, 56498, 9271, 60611, 42422, 31441, 60613, 43417, 42421, 13722, 43424, 6391, 60614, 14226, 9269, 35915]","[2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 0, 3, 1, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 1]","[[0, 0, 3], [0, 1, 2], [0, 0, 3], [0, 0, 3], [0, 3, 0], [0, 0, 3], [0, 0, 3], [1, 0, 2], [1, 1, 1], [0, 0, 3], [3, 0, 0], [1, 1, 1], [0, 2, 1], [2, 1, 0], [2, 1, 0], [0, 3, 0], [0, 2, 1], [1, 2, 0], [0, 2, 1], [0, 3, 0], [2, 0, 1], [0, 1, 2], [1, 2, 0], [3, 0, 0], [0, 1, 2], [0, 2, 1], [2, 1, 0], [0, 1, 2], [0, 2, 1], [0, 2, 1]]"
77,Location with location selected as current location,"[(0, 0, 2), (2, 1, 2), (0, 1, 0), (0, 2, 1), (2, 1, 0), (0, 0, 1), (0, 2, 1), (1, 0, 0), (0, 0, 1), (0, 1, 1), (0, 0, 1), (1, 1, 1), (0, 0, 1), (2, 2, 1), (2, 0, 1), (2, 2, 2), (0, 2, 0), (1, 2, 2), (2, 2, 2), (0, 1, 0), (2, 2, 2), (2, 2, 1), (2, 2, 1), (1, 1, 2), (2, 2, 2), (1, 2, 2), (0, 2, 2), (2, 2, 2), (0, 0, 0), (2, 2, 2)]","[56197, 58770, 28541, 32832, 8705, 51084, 50631, 69933, 26020, 50625, 46556, 28757, 11838, 54530, 43184, 34928, 37205, 57777, 56208, 26443, 57775, 26230, 37281, 67073, 1549, 49229, 48062, 26928, 66587, 49233]","[0, 2, 0, 3, 3, 0, 3, 0, 0, 1, 0, 1, 0, 2, 3, 2, 0, 2, 2, 0, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2]","[[2, 0, 1], [0, 1, 2], [2, 1, 0], [1, 1, 1], [1, 1, 1], [2, 1, 0], [1, 1, 1], [2, 1, 0], [2, 1, 0], [1, 2, 0], [2, 1, 0], [0, 3, 0], [2, 1, 0], [0, 1, 2], [1, 1, 1], [0, 0, 3], [2, 0, 1], [0, 1, 2], [0, 0, 3], [2, 1, 0], [0, 0, 3], [0, 1, 2], [0, 1, 2], [0, 2, 1], [0, 0, 3], [0, 1, 2], [1, 0, 2], [0, 0, 3], [3, 0, 0], [0, 0, 3]]"
79,Buy atlanta falcons jersey,"[(2, 2, 2), (2, 2, 2), (1, 1, 1), (0, 1, 1), (2, 2, 2), (0, 0, 0), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (2, 1, 2), (0, 0, 1), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (2, 2, 2), (0, 0, 0), (0, 1, 1), (0, 0, 0), (0, 0, 0)]","[23362, 23360, 25059, 49903, 23355, 17533, 17522, 23356, 17386, 25062, 7591, 25063, 7593, 17398, 62503, 40660, 21302, 32411, 17404, 43110, 19720, 17828, 36628, 54931, 43251, 23361, 66199, 7590, 59069, 49463]","[2, 2, 1, 1, 2, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]","[[0, 0, 3], [0, 0, 3], [0, 3, 0], [1, 2, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [0, 1, 2], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [0, 0, 3], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0]]"
80,Information with detailed explanation text of fitness exercises and a corresponding graphic,"[(2, 0, 2), (1, 0, 0), (1, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (2, 0, 0), (1, 1, 0), (2, 1, 0), (1, 0, 1), (1, 0, 0), (1, 0, 0), (2, 0, 1), (0, 0, 0), (1, 1, 1), (1, 2, 1), (0, 0, 0), (1, 1, 1), (1, 2, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 2, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[42594, 61621, 9110, 44132, 61607, 31807, 12659, 31810, 55881, 12655, 26180, 50739, 30839, 61625, 50754, 24724, 13178, 58734, 16658, 8252, 50750, 61960, 63225, 31803, 9531, 61619, 16379, 52316, 17212, 14056]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 3, 0, 1, 1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]","[[1, 0, 2], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [1, 2, 0], [1, 1, 1], [1, 2, 0], [2, 1, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [0, 3, 0], [0, 2, 1], [3, 0, 0], [0, 3, 0], [0, 2, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 1, 2], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
80,verify entered information before proceeding,"[(2, 2, 2), (1, 1, 1), (0, 1, 0), (2, 1, 1), (0, 0, 2), (2, 1, 1), (2, 1, 1), (1, 1, 1), (1, 1, 1), (2, 1, 1), (0, 0, 0), (2, 1, 1), (1, 1, 1), (1, 1, 1), (2, 1, 1), (2, 0, 2), (0, 0, 1), (0, 2, 0), (2, 2, 2), (2, 1, 2), (2, 2, 2), (0, 1, 1), (0, 0, 0), (0, 1, 1), (0, 0, 2), (2, 0, 0), (2, 2, 2), (0, 0, 1), (1, 0, 0), (2, 2, 2)]","[34225, 9513, 11293, 55807, 60630, 69287, 13417, 34405, 13421, 39852, 28632, 4638, 20288, 25342, 71320, 31247, 27982, 15684, 40877, 3208, 15697, 71313, 56173, 54678, 51365, 63092, 998, 70487, 57265, 61767]","[2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 2, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2]","[[0, 0, 3], [0, 3, 0], [2, 1, 0], [0, 2, 1], [2, 0, 1], [0, 2, 1], [0, 2, 1], [0, 3, 0], [0, 3, 0], [0, 2, 1], [3, 0, 0], [0, 2, 1], [0, 3, 0], [0, 3, 0], [0, 2, 1], [1, 0, 2], [2, 1, 0], [2, 0, 1], [0, 0, 3], [0, 1, 2], [0, 0, 3], [1, 2, 0], [3, 0, 0], [1, 2, 0], [2, 0, 1], [2, 0, 1], [0, 0, 3], [2, 1, 0], [2, 1, 0], [0, 0, 3]]"
81,online dating,"[(1, 2, 2), (0, 0, 0), (0, 0, 0), (2, 2, 2), (1, 2, 1), (1, 2, 1), (0, 0, 0), (0, 1, 0), (2, 2, 1), (0, 0, 0), (2, 2, 1), (2, 2, 1), (0, 0, 0), (2, 2, 0), (0, 0, 1), (2, 2, 1), (2, 2, 2), (0, 0, 1), (0, 0, 0), (1, 0, 1), (0, 2, 1), (2, 0, 1), (2, 0, 0), (1, 0, 0), (0, 0, 0), (2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 0, 1), (0, 0, 0)]","[64832, 17289, 60172, 26879, 17286, 14553, 69995, 15942, 24568, 50639, 58530, 62458, 70005, 58532, 42733, 43181, 17292, 64058, 69989, 17294, 29625, 38934, 17287, 56407, 66461, 17293, 1281, 28655, 58537, 42742]","[2, 0, 0, 2, 1, 1, 0, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 0, 0, 1, 3, 3, 0, 0, 0, 2, 0, 2, 3, 0]","[[0, 1, 2], [3, 0, 0], [3, 0, 0], [0, 0, 3], [0, 2, 1], [0, 2, 1], [3, 0, 0], [2, 1, 0], [0, 1, 2], [3, 0, 0], [0, 1, 2], [0, 1, 2], [3, 0, 0], [1, 0, 2], [2, 1, 0], [0, 1, 2], [0, 0, 3], [2, 1, 0], [3, 0, 0], [1, 2, 0], [1, 1, 1], [1, 1, 1], [2, 0, 1], [2, 1, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [0, 0, 3], [1, 1, 1], [3, 0, 0]]"
85,open with notification with paly store or browser,"[(0, 2, 1), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 2, 1), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (1, 0, 0), (0, 2, 0), (2, 2, 2), (1, 2, 0), (0, 1, 0), (2, 1, 2), (0, 2, 0), (0, 0, 0), (1, 2, 2), (2, 0, 0), (1, 2, 0), (1, 2, 2), (0, 2, 0), (0, 1, 0), (1, 2, 2), (0, 1, 0)]","[28811, 64065, 33769, 15596, 37358, 54834, 65995, 7311, 3777, 51903, 13381, 29842, 69445, 11725, 25974, 69446, 2735, 26474, 17431, 41314, 61816, 53915, 57363, 51276, 55550, 34400, 50903, 40665, 2591, 59823]","[3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 2, 0, 0, 2, 0, 3, 2, 0, 0, 2, 0]","[[1, 1, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 0, 1], [0, 0, 3], [1, 1, 1], [2, 1, 0], [0, 1, 2], [2, 0, 1], [3, 0, 0], [0, 1, 2], [2, 0, 1], [1, 1, 1], [0, 1, 2], [2, 0, 1], [2, 1, 0], [0, 1, 2], [2, 1, 0]]"
88,informative list contents,"[(1, 1, 2), (2, 0, 2), (1, 1, 2), (1, 0, 2), (2, 0, 2), (1, 0, 1), (1, 0, 1), (1, 0, 2), (2, 1, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 1, 1), (1, 1, 1), (2, 1, 1), (2, 2, 2), (2, 2, 1), (2, 1, 2), (2, 2, 2), (2, 1, 1), (0, 0, 0), (2, 0, 2), (0, 0, 0), (0, 0, 2), (0, 0, 0), (2, 0, 1)]","[53447, 1870, 49771, 65532, 45105, 1867, 34388, 65529, 49766, 65523, 65528, 65522, 55590, 70936, 21223, 49867, 60601, 1286, 14545, 41249, 14054, 34373, 41244, 26954, 14551, 45108, 945, 19421, 21488, 64533]","[1, 2, 1, 3, 2, 1, 1, 3, 2, 3, 3, 3, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 0, 2, 0, 0, 0, 3]","[[0, 2, 1], [1, 0, 2], [0, 2, 1], [1, 1, 1], [1, 0, 2], [1, 2, 0], [1, 2, 0], [1, 1, 1], [0, 1, 2], [1, 1, 1], [1, 1, 1], [1, 1, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 2, 1], [0, 3, 0], [0, 2, 1], [0, 0, 3], [0, 1, 2], [0, 1, 2], [0, 0, 3], [0, 2, 1], [3, 0, 0], [1, 0, 2], [3, 0, 0], [2, 0, 1], [3, 0, 0], [1, 1, 1]]"
90,Menstrual calendar with body temperature,"[(1, 2, 0), (2, 1, 0), (2, 1, 0), (2, 1, 1), (0, 0, 0), (0, 0, 0), (2, 0, 0), (1, 1, 1), (1, 0, 0), (1, 1, 1), (0, 1, 0), (1, 0, 0), (1, 1, 0), (0, 0, 0), (2, 1, 0), (1, 1, 1), (0, 0, 1), (0, 1, 0), (1, 1, 1), (0, 0, 2), (0, 0, 0), (1, 1, 1), (2, 2, 2), (0, 0, 1), (0, 0, 1), (1, 1, 1), (0, 0, 0), (0, 0, 0), (1, 1, 0), (0, 0, 0)]","[28339, 14252, 22876, 36575, 42316, 14248, 16983, 60084, 65193, 22879, 59590, 33572, 16986, 59134, 35133, 22869, 69898, 35129, 22874, 69896, 35128, 22881, 60076, 35130, 22890, 14255, 44316, 22886, 14250, 47788]","[3, 3, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 3, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0]","[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 2, 1], [3, 0, 0], [3, 0, 0], [2, 0, 1], [0, 3, 0], [2, 1, 0], [0, 3, 0], [2, 1, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 1, 1], [0, 3, 0], [2, 1, 0], [2, 1, 0], [0, 3, 0], [2, 0, 1], [3, 0, 0], [0, 3, 0], [0, 0, 3], [2, 1, 0], [2, 1, 0], [0, 3, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0]]"
91,"weather details with temperature, pressure and relative humidity","[(2, 2, 1), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (2, 2, 2), (1, 2, 2), (2, 2, 2), (2, 2, 2), (0, 2, 2), (2, 2, 2), (0, 1, 2), (2, 1, 1), (1, 1, 1), (2, 1, 1), (2, 2, 2), (1, 1, 2), (0, 0, 0), (1, 1, 0), (1, 1, 0), (0, 0, 1), (0, 0, 1), (2, 2, 0), (0, 0, 0), (2, 2, 0), (1, 1, 0), (0, 0, 0), (2, 2, 2), (2, 1, 0), (0, 0, 1)]","[682, 58875, 65452, 53167, 35327, 36325, 66930, 68010, 54919, 32859, 25852, 28760, 46540, 28349, 63695, 33215, 26022, 65446, 51071, 36332, 54924, 29312, 58869, 58863, 66541, 54533, 68011, 37413, 34111, 25849]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 2, 1, 0, 1, 1, 0, 0, 2, 0, 2, 1, 0, 2, 3, 0]","[[0, 1, 2], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 0, 3], [0, 1, 2], [0, 0, 3], [0, 0, 3], [1, 0, 2], [0, 0, 3], [1, 1, 1], [0, 2, 1], [0, 3, 0], [0, 2, 1], [0, 0, 3], [0, 2, 1], [3, 0, 0], [1, 2, 0], [1, 2, 0], [2, 1, 0], [2, 1, 0], [1, 0, 2], [3, 0, 0], [1, 0, 2], [1, 2, 0], [3, 0, 0], [0, 0, 3], [1, 1, 1], [2, 1, 0]]"
92,show map,"[(2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 2, 2), (2, 2, 2), (0, 0, 0), (1, 2, 2), (0, 2, 2), (2, 2, 2), (2, 2, 2), (0, 0, 0), (2, 2, 2), (1, 2, 2), (0, 0, 0), (2, 2, 2), (0, 0, 0), (2, 2, 2), (1, 1, 1), (2, 2, 2), (0, 0, 0), (1, 1, 1), (2, 2, 2), (2, 2, 2), (1, 1, 1), (0, 1, 0), (2, 2, 2), (2, 2, 2), (2, 2, 2), (0, 0, 0), (2, 2, 2)]","[51065, 71036, 52816, 52817, 70527, 12687, 4218, 64043, 7084, 66555, 71034, 70756, 13257, 16898, 60544, 41480, 51331, 24475, 881, 53159, 2754, 13259, 1756, 49502, 63529, 53389, 13160, 61043, 54541, 48325]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 1, 2, 0, 1, 2, 2, 1, 0, 2, 2, 2, 0, 2]","[[0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 1, 2], [1, 0, 2], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 1, 2], [3, 0, 0], [0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 3, 0], [0, 0, 3], [3, 0, 0], [0, 3, 0], [0, 0, 3], [0, 0, 3], [0, 3, 0], [2, 1, 0], [0, 0, 3], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 0, 3]]"
