query,gui_indexes,relevance
flight preferences San Francisco to New York and search tickets button,"[2720, 42153, 24379, 1373, 21446, 17099, 1735, 39809, 44802, 43373, 63123, 3040, 1739, 21453, 28796, 50010, 21454, 2631, 52414, 18640, 57686, 2719, 18650, 28089, 21124, 18653, 24370, 39343, 18652, 12644]","[2, 1, 3, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 3, 3, 3, 1, 0, 0, 2, 1, 2, 2, 3, 0, 1, 0, 0, 2, 3]"
Startup screen with login & sign up options and a logo,"[53946, 69839, 36266, 18535, 39909, 10942, 16269, 10625, 22114, 53273, 41109, 5817, 13921, 16202, 57081, 20517, 9921, 33411, 41917, 29509, 22111, 17834, 58936, 38933, 45525, 10624, 61301, 64136, 20233, 21042]","[2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 2, 0, 1, 2, 0, 2, 2, 2, 2, 2, 2, 0, 0, 1]"
task scheduler app showing task handlers,"[33943, 64345, 27990, 12391, 57052, 57063, 12393, 907, 28357, 6856, 27987, 57663, 41704, 63962, 58666, 908, 27776, 60047, 36070, 58656, 43886, 15945, 43894, 6554, 49895, 58663, 58655, 48832, 32276, 58676]","[0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
Libary list with the united states of america,"[39940, 61139, 70758, 55643, 70368, 39943, 49284, 70369, 39937, 13657, 29333, 35165, 10206, 30382, 67427, 61437, 30380, 42908, 11521, 30381, 9307, 10192, 59357, 63830, 71081, 25055, 51608, 24973, 54445, 51606]","[1, 0, 0, 2, 1, 2, 0, 0, 2, 1, 3, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1]"
Tabs layout preview,"[22974, 69119, 49456, 20057, 64516, 22596, 69708, 47663, 22591, 13306, 28581, 35897, 35333, 68119, 19983, 36327, 47402, 19988, 36328, 27590, 19987, 3917, 51353, 28701, 28540, 31783, 67999, 35337, 27833, 31047]","[0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 0, 0, 2, 3, 2, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 2, 0, 0, 2, 0]"
daily sport program,"[59557, 63232, 1091, 35036, 35033, 35028, 1013, 35025, 64602, 1014, 721, 1008, 61726, 63223, 61038, 18948, 42937, 23854, 51475, 35030, 57472, 57889, 6802, 1015, 61612, 46167, 35540, 7138, 46189, 57460]","[0, 1, 0, 1, 0, 3, 2, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
pay screen for adding money into a paytm account,"[1102, 49956, 1115, 36056, 1111, 49209, 38960, 69654, 44468, 11454, 59618, 64629, 11460, 4219, 10278, 66606, 53608, 29719, 66605, 53604, 69650, 36052, 28533, 44471, 38784, 999, 64636, 44120, 7254, 20807]","[1, 1, 1, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
pop up ads,"[28890, 5883, 62738, 56761, 9810, 32771, 9025, 72161, 10281, 1972, 72155, 14378, 70509, 72168, 14374, 53672, 52107, 56749, 13681, 72152, 56778, 66937, 40304, 41586, 43239, 33223, 14372, 5067, 14375, 9030]","[2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 0, 3]"
search bar with serch list and home menus,"[16224, 43040, 71424, 20766, 54527, 25503, 25113, 34705, 25497, 25400, 43032, 43035, 25403, 43033, 9978, 33127, 18218, 9970, 48955, 18219, 22767, 11232, 71429, 43034, 24745, 47772, 19113, 20423, 18215, 21770]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3]"
online shopping app,"[69252, 28311, 69527, 4186, 6195, 8170, 14553, 69954, 55532, 42733, 65926, 10423, 6305, 52137, 19345, 14878, 65922, 4188, 4183, 65933, 8052, 57654, 65937, 21282, 59834, 65931, 68402, 52903, 65915, 59831]","[3, 0, 0, 0, 0, 0, 0, 3, 0, 2, 2, 0, 1, 3, 0, 0, 0, 3, 0, 2, 1, 2, 2, 1, 1, 2, 0, 3, 1, 0]"
settings to adjust,"[6007, 65783, 22351, 32842, 549, 11371, 21592, 35185, 49765, 50593, 62611, 68134, 9222, 12252, 23599, 1042, 53087, 35066, 16041, 41138, 8878, 37448, 3929, 36988, 65290, 62887, 9236, 9231, 65791, 1380]","[2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 1, 0, 3, 3, 0, 2, 3, 3, 2, 0, 0, 1, 0, 2, 2, 2, 2]"
Web ad for an children learning app,"[55867, 60469, 39477, 11416, 59237, 31170, 69934, 37400, 60569, 47756, 39478, 28365, 14878, 41539, 35826, 56662, 13654, 35469, 47748, 48783, 54361, 21573, 58940, 1187, 60473, 7280, 11744, 51719, 68265, 39480]","[2, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0]"
accounting software with excel file output format,"[35396, 31179, 54509, 10139, 51541, 54510, 43697, 18627, 54511, 18606, 63716, 54508, 31034, 40362, 54739, 58371, 24766, 46842, 23612, 20535, 39446, 50648, 3366, 54738, 31033, 67898, 55963, 2067, 24767, 38564]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
summery  of a questionnaire,"[41735, 44379, 60569, 60571, 43243, 28365, 28366, 43247, 35826, 35811, 35461, 35469, 54360, 54361, 35466, 58942, 58940, 42098, 43556, 43249, 28768, 42112, 43248, 2886, 51784, 28770, 51775, 51783, 2887, 58274]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 3, 0, 1, 0, 0, 3, 0]"
Timer with play button,"[32372, 8150, 11490, 11489, 3533, 18992, 47249, 33084, 18991, 12654, 60376, 17912, 63066, 69747, 63069, 56799, 3535, 37256, 2026, 33779, 42781, 70185, 9515, 63601, 2020, 37083, 63599, 53233, 8401, 12865]","[2, 0, 1, 0, 2, 2, 1, 2, 3, 3, 2, 1, 2, 2, 2, 3, 2, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 2, 2, 0]"
news,"[64920, 54133, 71379, 16515, 1570, 68818, 13837, 43051, 68811, 68813, 71448, 1565, 58510, 71451, 68814, 52520, 17565, 68816, 34466, 25205, 43821, 68874, 18870, 43824, 68865, 25199, 51821, 52519, 25209, 1575]","[0, 2, 1, 3, 1, 2, 1, 1, 2, 2, 2, 3, 2, 3, 3, 2, 0, 1, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 1]"
music,"[1506, 58956, 3351, 58946, 58945, 70547, 3352, 15479, 70546, 47865, 58955, 70544, 70533, 53793, 70539, 36221, 58954, 36218, 70553, 66742, 70538, 21909, 65894, 36222, 70548, 53910, 3348, 5368, 21904, 58944]","[2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]"
Map for atms,"[66118, 35453, 11939, 52816, 57046, 11933, 52817, 13357, 11932, 4218, 40438, 11935, 41480, 11934, 11938, 66555, 68989, 7084, 56256, 17602, 70756, 24475, 19692, 60544, 881, 5316, 13259, 2754, 13348, 49502]","[2, 2, 0, 1, 1, 0, 1, 3, 1, 1, 2, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1]"
strike count threshold with disabling  feature and limits ranging from 1 to 50,"[62782, 62780, 31392, 14578, 62776, 44053, 31984, 37606, 66994, 46841, 11587, 66993, 70820, 36235, 66984, 62781, 38382, 49520, 6769, 38384, 49525, 50593, 10821, 49013, 32262, 59736, 28265, 14581, 10820, 28267]","[2, 1, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
audio editor with harmony function,"[27752, 20274, 64836, 37568, 53012, 22687, 37560, 20586, 66226, 22181, 53005, 66227, 22182, 53004, 66229, 37567, 53013, 13339, 22689, 53007, 14191, 68797, 53003, 22690, 25497, 15815, 67446, 26415, 53018, 67449]","[0, 1, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 3, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0]"
Sending Email to Selected Recipient's,"[40342, 35287, 35288, 64858, 52796, 35285, 35286, 46655, 67139, 56893, 62150, 6889, 58569, 38723, 61680, 25007, 6230, 61895, 23860, 71721, 48806, 69560, 28628, 49173, 58058, 42163, 4338, 61906, 28631, 46656]","[0, 1, 1, 3, 1, 0, 1, 3, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 1, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0]"
buying boats,"[15039, 58090, 58084, 15036, 40117, 40109, 5949, 32819, 32815, 43011, 62390, 28649, 42997, 32817, 59102, 17158, 29869, 40799, 35450, 58083, 40800, 63307, 9293, 45563, 63312, 32816, 32818, 33621, 28274, 58123]","[1, 2, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0]"
search cellular locations,"[23326, 24154, 61364, 5629, 12745, 173, 15516, 12751, 40438, 2707, 43341, 44453, 38508, 40440, 43024, 48095, 3742, 40444, 26910, 42745, 42728, 31101, 176, 50631, 50150, 19134, 24755, 8923, 56702, 22859]","[2, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2]"
cover page of book with author name,"[49770, 40927, 40833, 40929, 40924, 24453, 40933, 40937, 42656, 47751, 52518, 8219, 6383, 61349, 45225, 47750, 48162, 40834, 6389, 43749, 57123, 34198, 2527, 52610, 38972, 16680, 52612, 32542, 27599, 17390]","[1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0]"
snapchat startup interface with login and sign up options,"[16082, 16084, 36266, 18535, 1884, 10942, 69839, 16202, 5817, 13921, 40003, 57081, 10894, 29509, 22114, 20517, 10624, 33411, 7293, 68460, 17834, 62001, 39920, 61301, 315, 39909, 34308, 63045, 39919, 34307]","[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
calculator,"[67804, 20594, 20602, 49397, 67409, 46604, 8899, 13351, 35283, 61050, 34179, 16992, 18384, 34181, 16993, 13616, 14230, 16989, 18385, 60470, 13613, 13615, 16991, 39794, 61055, 38846, 18386, 45827, 16987, 24333]","[0, 0, 0, 2, 3, 3, 3, 3, 3, 2, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]"
Vippi GUI sign up interface,"[38658, 6140, 21042, 70744, 29033, 38923, 64029, 40003, 21040, 45631, 52853, 40122, 64031, 52855, 20429, 54971, 38807, 20515, 70750, 18049, 20107, 29036, 15805, 45555, 70847, 68460, 22352, 7653, 18050, 58377]","[2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0]"
weather notification with toggle button,"[16844, 70635, 61170, 6423, 70626, 54917, 70777, 28497, 28698, 12865, 71513, 40490, 63601, 6416, 841, 63599, 54841, 54834, 18590, 57963, 21247, 6640, 32, 65447, 61236, 13490, 51276, 70185, 9540, 35]","[2, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
my playlist,"[71956, 58693, 45113, 10940, 50232, 5209, 55481, 53826, 53824, 66163, 14672, 34334, 2119, 52900, 70552, 17621, 3905, 494, 9981, 2112, 50228, 55665, 2113, 504, 26477, 3896, 50233, 17623, 61926, 13389]","[2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 1, 3, 1, 2, 0, 1, 2, 2, 1, 2, 1, 1, 2, 0, 1, 1, 2, 3]"
Using our advanced ovulation calculator online is the most reliable way of knowing your ovulation date,"[16992, 16990, 16993, 16989, 16991, 22879, 16987, 16982, 1729, 1733, 16986, 16988, 16983, 1732, 16984, 61983, 22892, 61115, 20676, 22891, 61118, 69900, 16985, 44016, 22870, 14252, 44013, 11323, 14254, 20602]","[1, 1, 0, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 0, 1, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
Open the application using a password,"[12738, 47181, 61165, 54677, 43386, 20545, 29662, 51629, 51615, 53683, 40520, 40104, 69551, 36731, 51165, 60077, 26211, 62256, 29487, 65706, 3440, 32077, 11520, 1082, 61440, 15783, 1083, 55625, 45556, 26302]","[2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 1, 2, 0, 2, 2, 2, 2, 2, 0, 1, 1, 2, 2, 2, 0, 1, 2, 0, 2]"
Product description and shipping information,"[4151, 19446, 2097, 30790, 5128, 4621, 30794, 23922, 61478, 4143, 61473, 55624, 20518, 61474, 61475, 45521, 42438, 46766, 40100, 15155, 25525, 45733, 3499, 36855, 30793, 33057, 36856, 4556, 33059, 32420]","[2, 1, 3, 1, 2, 1, 1, 3, 1, 0, 1, 1, 0, 1, 0, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1, 0, 3]"
web brower with list,"[16227, 1093, 34244, 1187, 1092, 66247, 291, 25697, 7828, 20339, 3146, 1198, 21855, 21, 45255, 21441, 19602, 16574, 26074, 53717, 64331, 26072, 63902, 41097, 68942, 27596, 36486, 18797, 62985, 24750]","[1, 1, 0, 0, 1, 1, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
music instruments with highest reviews,"[36063, 29354, 44825, 48983, 9729, 44840, 13140, 54550, 56736, 5667, 57111, 33086, 61961, 31291, 3351, 68646, 34283, 70547, 48982, 12920, 3515, 46471, 3218, 70546, 58946, 10634, 58956, 7737, 10635, 70544]","[0, 0, 3, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 3, 0, 0, 3, 3, 0, 0]"
Scientific Calculator Mobile Application,"[8899, 8897, 20602, 20594, 49397, 67409, 61050, 8900, 46604, 61048, 47998, 35283, 45827, 8896, 16992, 34179, 48002, 16993, 10150, 50163, 34181, 10141, 13351, 16989, 61055, 54528, 51615, 62838, 16982, 10144]","[2, 1, 0, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 3, 0, 2]"
login page,"[54204, 29481, 69952, 69548, 16082, 40127, 6309, 55885, 20071, 16241, 17568, 65007, 6364, 28628, 42005, 22253, 28631, 39998, 65674, 17569, 47741, 31776, 31153, 141, 15939, 42360, 30102, 35225, 7809, 71940]","[2, 2, 2, 1, 1, 1, 2, 3, 3, 2, 0, 0, 2, 3, 2, 2, 1, 0, 2, 0, 3, 2, 0, 2, 3, 3, 2, 2, 2, 0]"
Gallery app with thumbnails overview,"[45705, 57259, 8522, 5161, 48754, 55542, 57709, 33717, 10428, 57719, 24047, 17806, 57714, 5683, 6964, 34874, 41796, 5907, 30954, 62, 55540, 64951, 41799, 27544, 19638, 24046, 53431, 64957, 5676, 53780]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0]"
Period and fertility forecast with cycle length,"[15359, 49455, 11639, 44016, 11644, 72043, 4522, 15364, 8101, 44014, 28330, 24950, 44013, 57145, 4517, 69882, 865, 16961, 22894, 20676, 60075, 1732, 57138, 11318, 22879, 28308, 29716, 59134, 7178, 16960]","[2, 2, 1, 3, 2, 1, 1, 1, 1, 3, 2, 2, 1, 2, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 2]"
turkish car sales website,"[24320, 43041, 14026, 14023, 58048, 11854, 1170, 4863, 11855, 59825, 28756, 8273, 31124, 15674, 8261, 64633, 15658, 48087, 11850, 21118, 19643, 59841, 15663, 14019, 50019, 26691, 8272, 51359, 16525, 8262]","[2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
zone with different area,"[62008, 2884, 9295, 9638, 52715, 26124, 43375, 7401, 12067, 42258, 17517, 12071, 62872, 39269, 9296, 3920, 44100, 20291, 9648, 39266, 30612, 16583, 61694, 10126, 50596, 17526, 61624, 27684, 47470, 25511]","[3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 2, 0, 1, 1, 3, 0, 0]"
Management,"[62831, 1389, 71743, 10430, 31741, 10425, 55535, 55533, 63783, 24167, 37986, 8470, 39770, 18969, 6855, 24628, 59732, 63779, 42698, 10222, 16548, 43736, 98, 15496, 24631, 36064, 8776, 34345, 36069, 59228]","[3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 3, 2, 0, 0, 2, 0, 1, 0, 0, 3, 3, 0]"
"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about","[26337, 26330, 26326, 34181, 26335, 26333, 67408, 26334, 67409, 44839, 26332, 42168, 11453, 26329, 20594, 22487, 20596, 26771, 71622, 32400, 43501, 45602, 26420, 20602, 45564, 20599, 62788, 16819, 67399, 52617]","[2, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Application with writing reviews, bookmarks, and invoices","[48513, 66304, 38959, 38961, 56736, 35204, 35893, 41414, 11265, 35906, 35901, 41224, 35913, 35892, 44825, 41365, 35903, 44840, 35889, 35905, 35912, 5025, 35898, 33086, 29756, 35896, 59345, 33776, 48915, 3515]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 2, 1]"
ecommerce portal homescreen with search bar and frequently used option,"[53479, 21772, 49207, 46524, 61857, 42137, 46520, 49872, 19704, 50044, 48758, 48755, 33666, 48737, 48738, 25580, 34969, 19707, 63764, 48757, 34569, 56732, 49184, 67673, 21991, 48741, 49336, 21988, 22823, 49332]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 2, 3, 0]"
Price comparison application showing discounts and chash back,"[6928, 60875, 59094, 46610, 53767, 34863, 7331, 61750, 51615, 7334, 61758, 49676, 56556, 61757, 64451, 69951, 60882, 11088, 33577, 59311, 61377, 65916, 61768, 68456, 46707, 17357, 26930, 53884, 71646, 23394]","[2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0]"
list of data with image and details,"[25117, 67187, 38578, 64639, 67164, 45546, 19446, 33635, 7795, 25188, 33637, 7794, 46308, 5850, 5833, 65494, 62041, 35126, 40100, 14968, 40126, 69247, 21146, 15038, 57139, 66980, 15043, 38175, 48414, 49259]","[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
learn english easily,"[23185, 36571, 7537, 8116, 54363, 60375, 7797, 36568, 51295, 25018, 30924, 28481, 3269, 12006, 51148, 27934, 36567, 23658, 62638, 7794, 46605, 62639, 7793, 20137, 37602, 12007, 48519, 44677, 71712, 11743]","[3, 2, 2, 2, 2, 1, 2, 2, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 3, 0, 0, 2, 0, 2, 0, 0]"
screen of a task manager showing open tasks of the mobile phone,"[62586, 15945, 12391, 27990, 12393, 70472, 57063, 6856, 64345, 57052, 36070, 59094, 28357, 27776, 57663, 908, 61034, 907, 63521, 58665, 27987, 60047, 15908, 58666, 41704, 63962, 36872, 20932, 40665, 70461]","[2, 3, 3, 0, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 1]"
screen with select single answer,"[37856, 30052, 66898, 62431, 30051, 66894, 20786, 30058, 68953, 52811, 9961, 47588, 20787, 2920, 68951, 17315, 66895, 68952, 47587, 2937, 68441, 21829, 12845, 68950, 11918, 33248, 2983, 24548, 38655, 64202]","[1, 1, 1, 1, 3, 3, 0, 1, 0, 3, 0, 1, 0, 1, 0, 2, 3, 0, 0, 0, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0]"
Main screen,"[68694, 25322, 6156, 63907, 16479, 6157, 45674, 61366, 18902, 49331, 31436, 23202, 21131, 26311, 18898, 21133, 61757, 18895, 7601, 70129, 12134, 67072, 5513, 18821, 15769, 26307, 3882, 8734, 18579, 18897]","[2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 2, 0, 2, 0, 1, 2, 2, 2, 0, 3, 3, 0]"
how can i change this settings,"[52964, 196, 40104, 21592, 27622, 57092, 32842, 66658, 71326, 9222, 66660, 61980, 43302, 20781, 51943, 9231, 51755, 50167, 48984, 44478, 71334, 44296, 30612, 9070, 16041, 49079, 50168, 9229, 19448, 42289]","[2, 2, 3, 1, 0, 0, 2, 3, 0, 0, 2, 0, 3, 3, 0, 0, 2, 0, 2, 0, 1, 2, 0, 0, 0, 1, 0, 2, 2, 0]"
Login with organitzation address and password,"[51947, 41251, 62173, 54590, 27703, 67820, 5870, 40540, 27869, 50046, 40561, 51165, 55806, 42256, 24026, 31245, 29662, 19323, 12823, 62256, 66505, 47489, 60077, 54742, 11634, 70266, 32077, 49245, 20231, 29607]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 3, 1, 1, 2, 0, 1, 2, 2, 3]"
"app settings with permissions, notifications, phone numbers and about","[46075, 41678, 22078, 21043, 26487, 62315, 71845, 46076, 41134, 72151, 41675, 51218, 35580, 38186, 18967, 25878, 13711, 58088, 50149, 22812, 58203, 36132, 47738, 68324, 9155, 61615, 32635, 9162, 2596, 3813]","[2, 2, 1, 1, 0, 0, 1, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0]"
top world news,"[5167, 17016, 54133, 68865, 13190, 20714, 68874, 52844, 17024, 68765, 45532, 71379, 24930, 55604, 51825, 1570, 24925, 51821, 67051, 24927, 68818, 51830, 36173, 16515, 51819, 7751, 29637, 47131, 24928, 51823]","[2, 1, 2, 1, 1, 0, 1, 2, 0, 0, 2, 1, 0, 1, 1, 0, 2, 1, 3, 2, 1, 0, 2, 0, 0, 3, 2, 0, 0, 0]"
learning app,"[28141, 31170, 39477, 60569, 13654, 28365, 35826, 41539, 35469, 11744, 48783, 54361, 47658, 58940, 39480, 17323, 7280, 39479, 57051, 54359, 19210, 48798, 31174, 60473, 62636, 13650, 57057, 11416, 41547, 28478]","[0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 3, 0, 3, 2, 2, 0, 0, 0, 0, 2]"
us immigration news,"[18726, 69138, 54133, 16380, 69141, 71379, 16378, 69140, 68818, 43259, 69147, 16515, 54193, 69142, 50469, 5547, 69137, 43051, 10234, 20574, 68811, 11352, 47804, 1565, 38166, 20719, 68814, 19576, 13186, 68816]","[2, 1, 3, 2, 1, 0, 2, 1, 1, 3, 1, 0, 3, 1, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
Dropdown options in ascending order,"[71586, 60196, 19732, 48009, 46017, 26453, 20776, 46249, 22917, 55037, 63752, 4065, 70807, 67049, 56425, 13332, 60202, 64632, 5706, 67029, 23854, 30021, 67044, 21544, 43628, 67033, 42127, 31085, 2516, 63158]","[0, 2, 2, 2, 3, 3, 2, 2, 3, 2, 0, 0, 2, 0, 0, 0, 3, 2, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
Search bar with attractive pictures as well as date and names,"[46612, 21610, 69441, 2666, 68511, 22948, 58536, 27805, 61133, 55186, 58223, 61134, 2681, 10414, 48580, 2678, 37200, 46570, 55906, 70054, 9978, 2667, 9788, 9970, 37211, 61131, 68562, 2686, 13189, 68513]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]"
gaming tickets with account manager,"[39559, 60809, 24379, 24370, 47982, 36872, 21124, 8623, 2631, 22279, 33659, 22281, 22275, 12623, 31145, 22278, 12419, 9823, 22276, 67361, 12876, 21119, 12420, 12883, 21126, 57039, 53078, 43373, 46463, 12860]","[2, 0, 1, 3, 2, 0, 3, 2, 2, 0, 2, 0, 0, 2, 0, 2, 2, 2, 1, 2, 3, 0, 2, 0, 0, 1, 2, 0, 2, 0]"
prompt to add a suite to  Wishlist,"[18297, 35722, 19450, 42448, 4776, 42459, 16198, 32507, 42467, 42440, 71143, 15614, 33090, 42438, 16383, 15673, 42437, 23814, 19435, 22905, 8002, 24208, 61379, 64344, 52156, 37672, 19453, 52164, 12039, 23301]","[3, 3, 2, 0, 0, 0, 2, 0, 2, 1, 1, 0, 2, 3, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
expandable side menu,"[12792, 57646, 22727, 22725, 55726, 5803, 30834, 20873, 58148, 4853, 61704, 69142, 24072, 55729, 58146, 71643, 13142, 39596, 24722, 18291, 39600, 49304, 59930, 39603, 55728, 59605, 8684, 20869, 20872, 68962]","[2, 0, 0, 0, 0, 2, 2, 0, 2, 2, 1, 2, 3, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2]"
UI for reminder notes,"[4413, 8015, 49750, 55536, 69847, 49751, 39237, 70904, 36055, 4685, 22570, 27338, 4692, 46399, 36054, 22492, 22502, 49748, 49756, 22490, 48722, 24870, 13728, 22210, 40348, 69899, 48720, 7636, 44224, 2341]","[0, 0, 1, 2, 2, 1, 0, 3, 3, 2, 0, 3, 1, 2, 3, 2, 3, 0, 0, 3, 3, 2, 2, 2, 0, 2, 3, 0, 2, 3]"
